underlying,week_start,week_end,pnl,spot_start,spot_end,move_pct,trailing_vol,short_target,breached_short,breach_amount
GOOGL,2026-07-13,2026-07-17,59.91000000000349,352.51,346.77,-0.016283226007772857,0.3218883012134127,340.63153840530526,False,0.0
GOOGL,2026-07-20,2026-07-24,-394.3700000000099,351.99,319.74,-0.09162192107730333,0.36885887636872067,338.39828911856006,True,18.65828911856005
GOOGL,2026-07-27,2026-07-31,40.92750000000524,326.56,356.13,0.09054997550220478,0.42123114195567735,312.15984979195474,False,0.0
GOOGL,2026-08-03,2026-08-07,-29.074500000002445,373.51,354.3,-0.05143101924981923,0.4629928221871028,355.40660383867635,True,1.1066038386763353
GOOGL,2026-08-10,2026-08-14,17.971999999994296,357.52,345.9,-0.032501678227791465,0.5136671260879802,338.295029701305,False,0.0
GOOGL,2026-08-17,2026-08-21,15.973999999987427,344.0,344.82,0.0023837209302325383,0.4817937778641591,326.64985163066194,False,0.0
GOOGL,2026-08-24,2026-08-28,36.94049999999697,348.06,346.59,-0.004223409756938537,0.38864583123891705,333.8990727079098,False,0.0
META,2026-06-01,2026-06-05,137.5390000000043,600.47,593.0,-0.012440255133478819,0.19900533203283086,587.9605103886792,False,0.0
META,2026-06-08,2026-06-12,81.79499999999825,585.39,566.98,-0.031449119390491755,0.37056414718594655,562.6813006326299,False,0.0
META,2026-06-15,2026-06-18,67.80599999999686,593.48,577.22,-0.027397721911437606,0.36040396620543075,574.0885696425022,False,0.0
META,2026-06-22,2026-06-26,42.8695000000007,563.85,550.25,-0.02411989004167779,0.4518500361815593,537.178866722466,False,0.0
META,2026-06-29,2026-07-02,45.88299999998708,562.6,582.9,0.036082474226804044,0.4400883877309037,540.1532312569611,False,0.0
META,2026-07-06,2026-07-10,22.88749999999709,600.29,669.21,0.11481117459894397,0.5288382699033786,567.0571530192665,False,0.0
META,2026-07-13,2026-07-17,62.784499999994296,656.73,646.01,-0.016323298768139153,0.5577337654211236,618.3860052276776,False,0.0
META,2026-07-20,2026-07-24,-447.21050000000105,645.85,595.19,-0.07843926608345586,0.5307777603877109,609.9637610176617,True,14.773761017661627
META,2026-07-27,2026-07-31,-141.97900000000664,593.87,556.71,-0.06257261690268909,0.5428529540777147,560.1212916513584,True,3.411291651358397
META,2026-08-03,2026-08-07,37.87400000001071,590.24,592.1,0.0031512605042017037,0.5189350402083469,558.1754464061,False,0.0
META,2026-08-10,2026-08-14,39.88199999999779,594.92,589.85,-0.008522154239225336,0.4566344127071376,566.4812325308349,False,0.0
META,2026-08-17,2026-08-21,0.0,568.97,549.9,-0.03351670562595576,0.45213027054698124,542.0399899253565,False,0.0
META,2026-08-24,2026-08-28,46.891499999997905,559.02,578.02,0.03398805051697614,0.4714988204087805,531.4274702249642,False,0.0
TSLA,2026-06-01,2026-06-05,-409.2305000000051,415.88,391.0,-0.0598249495046648,0.38943740926850967,398.92533293117657,True,7.92533293117657
TSLA,2026-06-08,2026-06-12,68.783500000005,408.95,406.43,-0.00616212250886412,0.4779771170116395,388.4873968635172,False,0.0
TSLA,2026-06-15,2026-06-18,50.857499999998254,411.15,400.49,-0.02592727714945876,0.5064204490615353,392.27331521591907,False,0.0
TSLA,2026-06-22,2026-06-26,-438.1560000000027,405.05,379.71,-0.0625601777558327,0.4618080719900183,385.46814999156277,True,5.758149991562789
TSLA,2026-06-29,2026-07-02,65.83299999999872,411.84,393.45,-0.04465326340326337,0.49067493511044,393.51953071529823,True,0.06953071529824228
TSLA,2026-07-06,2026-07-10,44.8865000000078,419.77,407.76,-0.028610905972318156,0.6256687238131379,392.27590641550836,False,0.0
TSLA,2026-07-13,2026-07-17,39.90699999999197,394.76,380.84,-0.03526193130003044,0.6062748462248169,369.70547036426956,False,0.0
TSLA,2026-07-20,2026-07-24,-395.3325000000041,369.57,313.03,-0.1529886083827151,0.593374344601089,346.6133222249764,True,33.58332222497643
TSLA,2026-07-27,2026-07-31,21.94200000001001,309.22,311.21,0.006435547506629429,0.795490835089746,283.469461249784,False,0.0
TSLA,2026-08-03,2026-08-07,34.93050000000221,322.08,328.58,0.02018132141082961,0.6869461633511954,298.91832180544816,False,0.0
TSLA,2026-08-10,2026-08-14,11.971999999994296,330.88,342.27,0.03442335589941969,0.6435825130528603,308.587523588394,False,0.0
TSLA,2026-08-17,2026-08-21,12.970500000010361,339.3,362.86,0.06943707633362806,0.6606737545599455,315.83316726757937,False,0.0
TSLA,2026-08-24,2026-08-28,69.85699999998906,348.95,348.75,-0.0005731480154749639,0.3690632892208805,335.4682082594881,False,0.0
AVGO,2026-06-01,2026-06-05,-306.10749999999825,459.97,385.73,-0.1614018305541666,0.38971827533750586,441.2043400360433,True,55.47434003604326
AVGO,2026-06-08,2026-06-12,50.88150000000314,396.6,382.07,-0.036636409480585046,0.7052162561940952,367.32084167286234,False,0.0
AVGO,2026-06-15,2026-06-18,40.90350000000035,393.94,411.35,0.044194547393004074,0.696959899958624,369.0484427735601,False,0.0
AVGO,2026-06-22,2026-06-26,34.89649999998801,392.13,365.02,-0.06913523576364984,0.7495935224455933,361.3591525069231,False,0.0
AVGO,2026-06-29,2026-07-02,36.915500000002794,372.45,360.45,-0.03221908981071285,0.7756883413931173,346.2579532171271,False,0.0
AVGO,2026-07-06,2026-07-10,38.90450000000419,373.9,399.97,0.06972452527413761,0.7202610525627452,345.7078005037916,False,0.0
AVGO,2026-07-13,2026-07-17,79.78199999999197,384.05,370.825,-0.034435620361932096,0.501763698341481,363.87699618706404,False,0.0
AVGO,2026-07-20,2026-07-24,103.67900000000373,378.16,381.92,0.009942881320076133,0.4855342092357906,358.9388668544937,False,0.0
AVGO,2026-07-27,2026-07-31,102.66849999999977,383.22,389.28,0.015813370909660104,0.4445723551827351,365.3849560670263,False,0.0
AVGO,2026-08-03,2026-08-07,95.71700000000419,392.23,427.76,0.09058460597098633,0.4385605697314273,374.22247801143544,False,0.0
AVGO,2026-08-10,2026-08-14,-458.14100000000326,422.4,392.99,-0.0696259469696969,0.4371650218994385,403.06906416844606,True,10.079064168446052
AVGO,2026-08-17,2026-08-21,-434.125,392.43,368.45,-0.061106439364982335,0.4289291937431243,374.8089667786705,True,6.358966778670492
AVGO,2026-08-24,2026-08-28,58.87649999999849,358.76,368.79,0.02795740885271499,0.44587865691909073,342.0142631183128,False,0.0
JPM,2026-06-01,2026-06-05,68.91950000000361,296.58,312.37,0.0532402724391396,0.2230886149655621,289.6536755480349,False,0.0
JPM,2026-06-08,2026-06-12,60.90549999999348,311.11,320.72,0.030889396033557306,0.22664791713509513,303.7284210932202,False,0.0
JPM,2026-06-15,2026-06-18,58.93050000000221,319.4,325.22,0.018221665623043365,0.2251968125128392,312.8790428554301,False,0.0
JPM,2026-06-22,2026-06-26,52.93249999999534,331.48,329.05,-0.007330759020152066,0.25487553654694434,322.63558634050764,False,0.0
JPM,2026-06-29,2026-07-02,49.955000000001746,329.39,334.47,0.015422447554570696,0.2473733728396354,322.00283914437773,False,0.0
JPM,2026-07-06,2026-07-10,51.93399999999383,337.72,336.47,-0.003701291010304394,0.24888703347580668,328.9208116234939,False,0.0
JPM,2026-07-13,2026-07-17,100.83250000000407,334.53,341.1,0.01963949421576555,0.24680466916304428,325.88685088685406,False,0.0
JPM,2026-07-20,2026-07-24,57.9259999999922,338.87,353.21,0.04231711275710442,0.22376309445016407,330.93210873749194,False,0.0
JPM,2026-07-27,2026-07-31,71.90600000000268,356.2,351.79,-0.012380685008422146,0.20454950068091138,348.5726108927882,False,0.0
JPM,2026-08-03,2026-08-07,66.92849999999453,352.64,357.52,0.013838475499092546,0.23212232989368373,344.07096222476974,False,0.0
JPM,2026-08-10,2026-08-14,46.94650000000547,359.79,362.84,0.008477167236443353,0.20950120558752677,351.8992337508461,False,0.0
JPM,2026-08-17,2026-08-21,-277.0755000000063,360.96,351.58,-0.025986258865248215,0.184107467424624,354.00312747948334,True,2.4231274794833553
JPM,2026-08-24,2026-08-28,74.92250000000058,356.39,357.62,0.003451275288307804,0.19180360199957372,349.2340741484303,False,0.0
V,2026-06-01,2026-06-05,71.87699999999313,322.77,323.57,0.00247854509402984,0.16310261001801374,317.25890831151094,False,0.0
V,2026-06-08,2026-06-12,70.91250000000582,319.67,322.39,0.008508774673882348,0.19799628449373707,313.04413649463265,False,0.0
V,2026-06-15,2026-06-18,52.94049999999697,323.82,327.24,0.01056142301278493,0.19633889178152586,318.0559969903506,False,0.0
V,2026-06-22,2026-06-26,74.90050000000338,326.6,336.23,0.02948560930802203,0.2082479963097458,319.47999046390805,False,0.0
V,2026-06-29,2026-07-02,50.9435000000085,341.65,362.13,0.05994438753109914,0.21617722275881215,334.95415250894735,False,0.0
V,2026-07-06,2026-07-10,-26.09450000000652,357.25,348.97,-0.023177046885934142,0.21787710148292902,349.1016928766492,True,0.13169287664919693
V,2026-07-13,2026-07-17,73.89100000000326,357.75,358.56,0.0022641509433962326,0.22332846658576982,349.3861296934434,False,0.0
V,2026-07-20,2026-07-24,63.90700000000652,360.57,355.74,-0.013395457192778057,0.2395877550098424,351.5264744179793,False,0.0
V,2026-07-27,2026-07-31,105.77500000000873,362.53,366.13,0.00993021267205479,0.2450007906411622,353.2318831359059,False,0.0
V,2026-08-03,2026-08-07,57.929000000003725,365.67,362.5,-0.008669018513960718,0.20899610430646082,357.6696113301455,False,0.0
V,2026-08-10,2026-08-14,45.93600000000151,361.32,364.15,0.007832392339200665,0.20848137814775305,353.43425309377346,False,0.0
V,2026-08-17,2026-08-21,55.93300000000454,358.84,371.04,0.033998439415895795,0.1626474033508908,352.73013596771716,False,0.0
V,2026-08-24,2026-08-28,53.92699999999604,382.41,381.6,-0.002118145445987297,0.16931745664764936,375.6317974864362,False,0.0
UNH,2026-06-01,2026-06-05,79.85400000000664,379.86,399.47,0.05162428263044283,0.2453446186068203,370.10373329681823,False,0.0
UNH,2026-06-08,2026-06-12,84.81050000000687,406.57,408.52,0.004796222052783011,0.2906132632590828,394.20100755350074,False,0.0
UNH,2026-06-15,2026-06-18,47.91599999999744,411.04,400.96,-0.024523160762942878,0.2692137640516866,401.0078147678522,True,0.04781476785223049
UNH,2026-06-22,2026-06-26,68.87450000000536,406.68,427.89,0.052154027736795464,0.26840329864015866,395.253210494069,False,0.0
UNH,2026-06-29,2026-07-02,44.88249999999243,419.82,425.36,0.013196131675480017,0.26015505523684107,409.91830399502487,False,0.0
UNH,2026-07-06,2026-07-10,57.8810000000085,417.99,424.62,0.015861623483815392,0.28390639016790875,405.56705326857923,False,0.0
UNH,2026-07-13,2026-07-17,162.20850000000792,429.09,426.09,-0.00699154023631406,0.25193864571796293,417.7731190493197,False,0.0
UNH,2026-07-20,2026-07-24,56.86150000001362,421.55,420.74,-0.0019214802514529764,0.24951759344031807,410.5388208108114,False,0.0
UNH,2026-07-27,2026-07-31,78.85650000000896,417.64,414.4,-0.007757877597931255,0.27785986669136536,405.49181285890404,False,0.0
UNH,2026-08-03,2026-08-07,74.85649999999441,415.36,407.08,-0.01993451463790454,0.26281410019390933,403.93235090997143,False,0.0
UNH,2026-08-10,2026-08-14,60.90649999999732,408.74,401.73,-0.017150266673190757,0.2524126924320834,397.9395489381619,False,0.0
UNH,2026-08-17,2026-08-21,60.90450000000419,395.62,390.11,-0.013927506192811261,0.2512267253484336,385.21534607305455,False,0.0
UNH,2026-08-24,2026-08-28,79.88099999999395,398.76,392.95,-0.014570167519309866,0.21697044437623833,389.702763058704,False,0.0
XOM,2026-06-01,2026-06-05,36.96850000000268,149.38,149.92,0.003614941759271603,0.3258178697684511,144.28492104423736,False,0.0
XOM,2026-06-08,2026-06-12,50.959499999997206,151.75,147.01,-0.031235584843492648,0.31474081202914483,146.75005388240325,False,0.0
XOM,2026-06-15,2026-06-18,39.970000000001164,140.92,137.81,-0.0220692591541299,0.31020357645007335,136.95691278134132,False,0.0
XOM,2026-06-22,2026-06-26,35.97400000000198,138.47,136.54,-0.01393803711995383,0.2776523951397135,134.44523358931215,False,0.0
XOM,2026-06-29,2026-07-02,40.974499999996624,136.06,137.09,0.0075701896222254966,0.2714798443216724,132.71125365015823,False,0.0
